step,block_size,lr,train_loss,train_ema,gn
290,128,1.940000e-03,2.5693,2.8848,0.599
291,128,1.946667e-03,2.6243,2.8718,0.309
292,128,1.953333e-03,2.6670,2.8616,0.397
293,128,1.960000e-03,2.6601,2.8515,0.411
294,128,1.966667e-03,2.7033,2.8441,0.428
295,128,1.973333e-03,2.5151,2.8276,0.131
296,128,1.980000e-03,2.5113,2.8118,0.147
297,128,1.986667e-03,2.5099,2.7967,0.276
298,128,1.993333e-03,2.5180,2.7828,0.290
299,128,2.000000e-03,2.5103,2.7692,0.175
300,128,2.000000e-03,2.4853,2.7550,0.187
301,128,2.000000e-03,2.4811,2.7413,0.187
302,128,2.000000e-03,2.4726,2.7278,0.283
303,128,1.999999e-03,2.4806,2.7155,0.264
304,128,1.999999e-03,2.4532,2.7024,0.224
305,128,1.999998e-03,2.4408,2.6893,0.220
306,128,1.999997e-03,2.4315,2.6764,0.137
307,128,1.999996e-03,2.4378,2.6645,0.128
308,128,1.999995e-03,2.4238,2.6524,0.122
309,128,1.999994e-03,2.4218,2.6409,0.118
310,128,1.999992e-03,2.4266,2.6302,0.101
311,128,1.999990e-03,3.0759,2.6525,3.793
312,128,1.999989e-03,2.4579,2.6427,0.651
313,128,1.999987e-03,2.4618,2.6337,0.614
314,128,1.999985e-03,2.4443,2.6242,0.337
315,128,1.999982e-03,2.4235,2.6142,0.380
316,128,1.999980e-03,2.5403,2.6105,0.508
317,128,1.999977e-03,2.5397,2.6070,0.506
318,128,1.999974e-03,2.6010,2.6067,1.519
319,128,1.999971e-03,2.5522,2.6039,0.493
320,128,1.999968e-03,2.6986,2.6087,2.054
321,128,1.999965e-03,2.4105,2.5988,0.366
322,128,1.999962e-03,2.3745,2.5875,0.331
323,128,1.999958e-03,2.7034,2.5933,2.510
324,128,1.999954e-03,2.3722,2.5823,0.277
325,128,1.999951e-03,2.3419,2.5703,0.257
326,128,1.999947e-03,2.3421,2.5589,0.269
327,128,1.999942e-03,2.3623,2.5490,0.277
